,Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
882,882,0 days 01:22:29.219000,SAR,2,0 days 00:01:32.050000,13,1,,,18.511,38.795,34.744,0 days 01:21:15.701000,0 days 01:21:54.496000,0 days 01:22:29.240000,286,311,210,309,false,MEDIUM,14,false,Williams,0 days 01:20:57.169000,2023-11-26 13:21:58.294,1,17,false,,false,true,92.05,92.05
883,883,0 days 01:24:01.044000,SAR,2,0 days 00:01:31.825000,14,1,,,18.53,38.79,34.505,0 days 01:22:47.770000,0 days 01:23:26.560000,0 days 01:24:01.065000,287,308,210,311,false,MEDIUM,15,false,Williams,0 days 01:22:29.219000,2023-11-26 13:23:30.344,1,14,false,,false,true,91.825,91.825
884,884,0 days 01:25:35.900000,SAR,2,0 days 00:01:34.856000,15,1,,0 days 01:25:34.926000,18.502,38.974,37.38,0 days 01:24:19.567000,0 days 01:24:58.541000,0 days 01:25:35.921000,,306,,310,false,MEDIUM,16,false,Williams,0 days 01:24:01.044000,2023-11-26 13:25:02.169,1,16,false,,false,false,94.856,94.856
885,885,0 days 01:27:27.804000,SAR,2,0 days 00:01:51.904000,16,2,0 days 01:25:57.081000,,39.278,38.862,33.764,0 days 01:26:15.199000,0 days 01:26:54.061000,0 days 01:27:27.825000,282,301,213,305,false,HARD,1,true,Williams,0 days 01:25:35.900000,2023-11-26 13:26:37.025,1,20,false,,false,false,111.904,111.904
886,886,0 days 01:28:58.208000,SAR,2,0 days 00:01:30.404000,17,2,,,18.154,38.3,33.95,0 days 01:27:45.979000,0 days 01:28:24.279000,0 days 01:28:58.229000,288,302,214,307,true,HARD,2,true,Williams,0 days 01:27:27.804000,2023-11-26 13:28:28.929,1,20,false,,false,true,90.404,90.404
887,887,0 days 01:30:29.503000,SAR,2,0 days 00:01:31.295000,18,2,,,18.362,38.45,34.483,0 days 01:29:16.591000,0 days 01:29:55.041000,0 days 01:30:29.524000,,293,213,303,false,HARD,3,true,Williams,0 days 01:28:58.208000,2023-11-26 13:29:59.333,1,20,false,,false,true,91.295,91.295
888,888,0 days 01:31:59.871000,SAR,2,0 days 00:01:30.368000,19,2,,,18.189,38.391,33.788,0 days 01:30:47.713000,0 days 01:31:26.104000,0 days 01:31:59.892000,289,300,215,307,true,HARD,4,true,Williams,0 days 01:30:29.503000,2023-11-26 13:31:30.628,1,20,false,,false,true,90.368,90.368
889,889,0 days 01:33:30.277000,SAR,2,0 days 00:01:30.406000,20,2,,,18.29,38.388,33.728,0 days 01:32:18.182000,0 days 01:32:56.570000,0 days 01:33:30.298000,,301,214,304,false,HARD,5,true,Williams,0 days 01:31:59.871000,2023-11-26 13:33:00.996,1,20,false,,false,true,90.406,90.406
890,890,0 days 01:35:00.558000,SAR,2,0 days 00:01:30.281000,21,2,,,18.209,38.344,33.728,0 days 01:33:48.507000,0 days 01:34:26.851000,0 days 01:35:00.579000,,304,213,306,true,HARD,6,true,Williams,0 days 01:33:30.277000,2023-11-26 13:34:31.402,1,20,false,,false,true,90.281,90.281
891,891,0 days 01:36:30.992000,SAR,2,0 days 00:01:30.434000,22,2,,,18.238,38.309,33.887,0 days 01:35:18.817000,0 days 01:35:57.126000,0 days 01:36:31.013000,290,307,212,308,false,HARD,7,true,Williams,0 days 01:35:00.558000,2023-11-26 13:36:01.683,1,19,false,,false,true,90.434,90.434
892,892,0 days 01:38:01.829000,SAR,2,0 days 00:01:30.837000,23,2,,,18.314,38.514,34.009,0 days 01:36:49.327000,0 days 01:37:27.841000,0 days 01:38:01.850000,,305,211,308,false,HARD,8,true,Williams,0 days 01:36:30.992000,2023-11-26 13:37:32.117,1,19,false,,false,true,90.837,90.837
893,893,0 days 01:39:32.438000,SAR,2,0 days 00:01:30.609000,24,2,,,18.234,38.53,33.845,0 days 01:38:20.084000,0 days 01:38:58.614000,0 days 01:39:32.459000,289,306,212,309,false,HARD,9,true,Williams,0 days 01:38:01.829000,2023-11-26 13:39:02.954,1,19,false,,false,true,90.609,90.609
894,894,0 days 01:41:02.968000,SAR,2,0 days 00:01:30.530000,25,2,,,18.259,38.517,33.754,0 days 01:39:50.718000,0 days 01:40:29.235000,0 days 01:41:02.989000,288,306,212,313,false,HARD,10,true,Williams,0 days 01:39:32.438000,2023-11-26 13:40:33.563,1,19,false,,false,true,90.53,90.53
895,895,0 days 01:42:33.576000,SAR,2,0 days 00:01:30.608000,26,2,,,18.253,38.539,33.816,0 days 01:41:21.242000,0 days 01:41:59.781000,0 days 01:42:33.597000,,307,212,310,false,HARD,11,true,Williams,0 days 01:41:02.968000,2023-11-26 13:42:04.093,1,19,false,,false,true,90.608,90.608
896,896,0 days 01:44:04.041000,SAR,2,0 days 00:01:30.465000,27,2,,,18.233,38.311,33.921,0 days 01:42:51.830000,0 days 01:43:30.141000,0 days 01:44:04.062000,289,307,212,313,false,HARD,12,true,Williams,0 days 01:42:33.576000,2023-11-26 13:43:34.701,1,19,false,,false,true,90.465,90.465
897,897,0 days 01:45:35.028000,SAR,2,0 days 00:01:30.987000,28,2,,,18.326,38.439,34.222,0 days 01:44:22.388000,0 days 01:45:00.827000,0 days 01:45:35.049000,290,306,212,310,false,HARD,13,true,Williams,0 days 01:44:04.041000,2023-11-26 13:45:05.166,1,19,false,,false,true,90.987,90.987
898,898,0 days 01:47:05.721000,SAR,2,0 days 00:01:30.693000,29,2,,,18.385,38.494,33.814,0 days 01:45:53.434000,0 days 01:46:31.928000,0 days 01:47:05.742000,,308,212,312,false,HARD,14,true,Williams,0 days 01:45:35.028000,2023-11-26 13:46:36.153,1,19,false,,false,true,90.693,90.693
899,899,0 days 01:48:36.363000,SAR,2,0 days 00:01:30.642000,30,2,,,18.358,38.343,33.941,0 days 01:47:24.100000,0 days 01:48:02.443000,0 days 01:48:36.384000,,308,209,309,false,HARD,15,true,Williams,0 days 01:47:05.721000,2023-11-26 13:48:06.846,1,18,false,,false,true,90.642,90.642
900,900,0 days 01:50:07.010000,SAR,2,0 days 00:01:30.647000,31,2,,,18.372,38.114,34.161,0 days 01:48:54.756000,0 days 01:49:32.870000,0 days 01:50:07.031000,289,317,213,312,false,HARD,16,true,Williams,0 days 01:48:36.363000,2023-11-26 13:49:37.488,1,18,false,,false,true,90.647,90.647
901,901,0 days 01:51:38.140000,SAR,2,0 days 00:01:31.130000,32,2,,,18.299,38.885,33.946,0 days 01:50:25.330000,0 days 01:51:04.215000,0 days 01:51:38.161000,290,307,209,307,false,HARD,17,true,Williams,0 days 01:50:07.010000,2023-11-26 13:51:08.135,1,17,false,,false,true,91.13,91.13
902,902,0 days 01:53:09.018000,SAR,2,0 days 00:01:30.878000,33,2,,,18.332,38.633,33.913,0 days 01:51:56.493000,0 days 01:52:35.126000,0 days 01:53:09.039000,288,308,212,309,false,HARD,18,true,Williams,0 days 01:51:38.140000,2023-11-26 13:52:39.265,1,16,false,,false,true,90.878,90.878
903,903,0 days 01:54:39.787000,SAR,2,0 days 00:01:30.769000,34,2,,,18.223,38.607,33.939,0 days 01:53:27.262000,0 days 01:54:05.869000,0 days 01:54:39.808000,289,305,212,311,false,HARD,19,true,Williams,0 days 01:53:09.018000,2023-11-26 13:54:10.143,1,15,false,,false,true,90.769,90.769
